fund_id,manager_name,domicile,asset_class,aum_eur,next_launch_date,last_launch_date,strategy_tags,launch_region_focus
FUND_FR_9073,"Jones, Ellis and Parkin",FR,PE,2797048911,,,Distressed,Pan-European
FUND_IT_9176,Allen-Miller,IT,RE,342414721,,,Value-Add,Europe
FUND_NL_9135,Amsterdam Capital,NL,Infra,2392875943,2027-08-09,,Transportation,Pan-European
FUND_LU_9168,Hunter-Butler,LU,PE,2624326692,2027-05-25,2022-01-31,Distressed,Europe
FUND_NL_9184,NL Capital,NL,Private Debt,2437225311,,,Unitranche; Direct Lending,Europe
FUND_FR_9064,Paris Capital,FR,RE,2365737883,,2023-02-17,Value-Add; Residential,Europe
FUND_LU_9055,Europa Capital,LU,RE,1266204520,2026-08-07,2023-10-25,Value-Add; Logistics; Residential,Global
FUND_LU_9108,Luxembourg Capital,LU,PE,2909443109,2026-08-20,2022-07-20,Growth; Distressed,Pan-European
FUND_LU_9051,Europa Capital,LU,PE,545139784,2027-02-05,,Buyout; Mid-market; Venture,Global
FUND_LU_9197,Ali-Kay,LU,PE,737307223,,2022-03-02,Buyout; Mid-market; Distressed,Western Europe
FUND_LU_9059,Cook-Shaw,LU,PE,960182718,2027-09-27,2022-10-09,Mid-market; Venture,Western Europe
FUND_LU_9049,Lux Capital,LU,Private Debt,2156388854,,2022-01-22,Direct Lending; Unitranche,Western Europe
FUND_IT_9089,"Watson, Marshall and Bates",IT,Infra,2571849873,2027-08-28,2024-03-20,Transportation; Digital Infra,Global
FUND_IT_9022,IT Capital Partners,IT,RE,718101672,2027-08-06,,Value-Add; Logistics; Opportunistic,Pan-European
FUND_LU_9058,Grand Capital,LU,Infra,774033884,,,Social Infra; Renewables; Transportation,Europe
FUND_LU_9161,Luxembourg Capital,LU,RE,577990642,,,Residential; Core; Opportunistic,Global
FUND_FR_9193,FR Capital,FR,Private Debt,2788877173,,2022-07-31,Senior Secured; Mezzanine,Europe
FUND_LU_9130,Europa Capital,LU,Infra,2253503566,2027-01-29,2022-08-06,Digital Infra; Renewables; Transportation,Europe
FUND_LU_9038,Fuller-Webb,LU,RE,2282615932,,2024-05-08,Core; Logistics,Global
FUND_FR_9158,Gallic Capital,FR,Infra,274002316,,2023-08-11,Social Infra; Digital Infra,Europe
FUND_LU_9194,Europa Capital,LU,Infra,1524007176,,2023-03-02,Transportation; Renewables,Europe
FUND_FR_9002,Gallic Capital Partners,FR,RE,914193438,2027-12-12,2023-03-05,Opportunistic; Core,Pan-European
FUND_NL_9053,Amsterdam Capital,NL,PE,2968942812,2026-09-02,2022-02-02,Mid-market; Distressed,Global
FUND_NL_9150,"Barnes, Pritchard and James",NL,Infra,2162789378,,,Renewables; Transportation,Europe
FUND_LU_9131,Russell Group,LU,RE,1475175708,,2023-12-04,Logistics,Western Europe
FUND_LU_9152,"Adams, McDonald and Field",LU,Infra,2921261709,,2024-05-18,Transportation,Global
FUND_FR_9104,Seine Capital,FR,PE,1846218722,,,Buyout,Western Europe
FUND_LU_9100,Grand Capital,LU,RE,1604813236,,2024-12-21,Core; Logistics,Europe
FUND_IT_9117,Milan Capital,IT,Infra,1930411715,2027-05-10,2023-03-13,Transportation; Digital Infra; Renewables,Pan-European
FUND_FR_9088,Saunders Ltd,FR,PE,1653248817,,2023-09-29,Growth; Mid-market; Venture,Pan-European
FUND_LU_9075,Grand Capital,LU,Infra,2461674319,,2022-08-14,Transportation,Western Europe
FUND_LU_9122,Hayes PLC,LU,Infra,1518296719,,2023-06-29,Transportation,Pan-European
FUND_LU_9200,Grand Capital,LU,RE,1345007629,,,Logistics; Residential; Value-Add,Global
FUND_IT_9021,Milan Capital Partners,IT,Infra,570611961,2027-07-10,2022-03-28,Digital Infra; Transportation; Social Infra,Europe
FUND_LU_9189,Europa Capital,LU,Private Debt,1775775485,,,Unitranche,Western Europe
FUND_NL_9072,NL Capital,NL,RE,1210086970,,,Value-Add; Logistics,Global
FUND_NL_9107,NL Capital,NL,RE,418971384,2027-09-11,2023-07-08,Logistics; Residential,Pan-European
FUND_FR_9015,Seine Capital Partners,FR,Private Debt,413219110,2026-04-13,2022-05-19,Direct Lending; Unitranche; Senior Secured,Western Europe
FUND_NL_9093,Holland Capital,NL,Private Debt,1689229092,2026-10-17,,Unitranche; Mezzanine,Europe
FUND_NL_9180,Dutch Capital,NL,Infra,1952857546,,,Social Infra,Europe
FUND_LU_9103,Europa Capital,LU,PE,1580712004,,,Growth; Venture; Buyout,Europe
