account_id,name,country,segment,status,key_contact,iqeq_relationship_start_date,last_contact_date,associated_conference_id,strategic_priority_flag
ACC_LU_0046,Luxembourg Real Estate Fund II SICAR,LU,FAM,client,joanquinn@example.org,2025-05-26,2025-05-28,,False
ACC_IT_0047,Milan Growth Fund III SpA,IT,PIAO,client,wilsonryan@example.com,2025-03-28,2025-05-09,,False
ACC_IT_0048,IT PE Fund IV FP,IT,FAM,client,lewisricky@example.net,2021-12-17,,,True
ACC_LU_0049,Lux ESG Private Debt Fund V SICAV,LU,PIAO,prospect,istevens@example.net,,2025-09-11,,True
ACC_NL_0050,Holland Mid-Market Fund I FGR,NL,PIAO,prospect,esmith@example.com,,2025-10-05,CONF_NL_2026_02,False
ACC_FR_0051,Seine Sustainable Growth Fund II SAS,FR,FAM,client,neilglover@example.com,2020-03-25,2025-12-24,,False
ACC_FR_0052,Gallic Mid-Market Fund III SA,FR,PIAO,client,mary67@example.net,2018-04-10,2025-03-02,CONF_LU_2026_05,False
ACC_FR_0053,Seine PE Fund IV SA,FR,FAM,prospect,daviesleah@example.org,,,,True
ACC_IT_0054,IT Infra Fund V FP,IT,FAM,prospect,ahmeddeclan@example.org,,,,True
ACC_LU_0055,Grand Duchy Sustainable Private Debt Fund I SICAR,LU,FAM,client,alexbates@example.com,2022-02-09,,,False
ACC_NL_0056,Dutch Mid-Market Fund II NV,NL,FAM,prospect,maryakhtar@example.com,,,,False
ACC_LU_0057,Grand Duchy PE Fund III SICAV,LU,FAM,prospect,keithwilliams@example.net,,2025-01-08,,True
ACC_NL_0058,NL Green Mid-Market Fund IV CV,NL,PIAO,prospect,bentleysheila@example.org,,2025-10-01,,False
ACC_FR_0059,Gallic Green PE Fund V SCPI,FR,PIAO,prospect,bennettfrank@example.org,,,CONF_LU_2024_04,True
ACC_LU_0060,Luxembourg Mid-Market Fund I SICAR,LU,FAM,client,njones@example.com,2021-08-15,2026-02-10,CONF_IT_2024_06,False
ACC_NL_0061,Dutch PE Fund II NV,NL,FAM,client,obrienpaul@example.com,2019-11-07,2025-12-08,,False
ACC_IT_0062,Milan Infra Fund III FIA,IT,PIAO,client,sandra46@example.net,2024-09-28,2025-06-04,,False
ACC_IT_0063,IT Real Estate Fund IV SRL,IT,FAM,prospect,snash@example.org,,2025-01-05,,False
ACC_IT_0064,Milan Real Estate Fund V SpA,IT,PIAO,client,jacksonjoanna@example.org,2023-12-19,2026-01-22,,False
ACC_LU_0065,Europa Mid-Market Fund I SICAV,LU,FAM,prospect,kevin09@example.com,,2025-08-01,,False
ACC_LU_0066,Luxembourg Green PE Fund II SICAR,LU,PIAO,client,kevinhunt@example.org,2022-05-28,2025-06-01,,False
ACC_LU_0067,Europa Mid-Market Fund III SICAV,LU,FAM,prospect,brianwright@example.net,,2025-05-16,CONF_LU_2024_15,True
ACC_NL_0068,NL Growth Fund IV FGR,NL,FAM,client,sophiebaldwin@example.net,2023-04-19,2025-11-09,,True
ACC_FR_0069,Gallic Growth Fund V SA,FR,FAM,client,rosemarywright@example.net,2022-07-11,,CONF_LU_2026_05,False
ACC_LU_0070,Europa Infra Fund I SCA,LU,PIAO,prospect,burtoncarole@example.net,,2025-09-08,CONF_FR_2024_09,False
ACC_NL_0071,Amsterdam Green Private Debt Fund II BV,NL,PIAO,client,elliot35@example.org,2023-02-09,2025-11-27,CONF_FR_2026_13,True
ACC_LU_0072,Grand Duchy Infra Fund III SCA,LU,PIAO,client,hannah24@example.com,2025-10-29,,CONF_LU_2026_18,False
ACC_NL_0073,Amsterdam Green Infra Fund IV NV,NL,FAM,client,liam07@example.net,2018-08-16,2025-10-04,CONF_IT_2024_06,True
ACC_FR_0074,Paris Private Debt Fund V SAS,FR,FAM,client,fordallan@example.net,2021-09-21,2026-01-17,,False
ACC_NL_0075,NL Sustainable Growth Fund I FGR,NL,PIAO,prospect,wayne51@example.org,,2025-01-16,,True
ACC_FR_0076,FR Mid-Market Fund II SA,FR,PIAO,client,glen27@example.net,2017-09-27,2025-11-16,,False
ACC_NL_0077,Dutch Private Debt Fund III CV,NL,PIAO,client,molly80@example.net,2018-04-14,,,False
ACC_FR_0078,Seine Growth Fund IV SAS,FR,FAM,prospect,cheryl12@example.com,,2025-08-07,CONF_FR_2024_09,True
ACC_LU_0079,Europa ESG Growth Fund V SICAR,LU,FAM,client,ballandrea@example.org,2025-05-08,2026-02-20,,False
ACC_NL_0080,NL Infra Fund I NV,NL,PIAO,prospect,lawrence93@example.net,,2025-02-23,CONF_LU_2024_07,False
ACC_NL_0081,Amsterdam Mid-Market Fund II NV,NL,PIAO,client,dennis48@example.com,2023-06-10,,,True
ACC_NL_0082,Amsterdam Infra Fund III BV,NL,PIAO,client,lee16@example.com,2020-10-23,,,True
ACC_LU_0083,Lux Sustainable PE Fund IV SCSp,LU,FAM,client,harpercallum@example.net,2022-02-02,2025-07-09,,False
ACC_FR_0084,FR PE Fund V SA,FR,PIAO,client,shaun78@example.net,2022-06-13,2025-08-01,CONF_FR_2025_17,False
ACC_LU_0085,Europa Real Estate Fund I SCSp,LU,FAM,client,hmoore@example.org,2023-09-21,2025-04-15,,False
ACC_FR_0086,Paris Green Private Debt Fund II SCPI,FR,FAM,client,janicefowler@example.com,2022-12-22,2025-09-14,CONF_IT_2024_12,False
ACC_LU_0087,Luxembourg Growth Fund III SCSp,LU,PIAO,client,sharonclarke@example.com,2021-09-07,2025-07-27,CONF_LU_2026_11,False
ACC_NL_0088,Dutch PE Fund IV BV,NL,FAM,client,simon53@example.net,2021-06-29,,CONF_LU_2026_11,False
ACC_LU_0089,Grand Duchy Sustainable Real Estate Fund V SCA,LU,PIAO,client,dorothywebb@example.net,2020-12-09,2026-02-24,CONF_LU_2026_05,False
ACC_LU_0090,Europa Growth Fund I SICAR,LU,FAM,prospect,vsimpson@example.org,,,CONF_NL_2024_19,True
ACC_IT_0091,Milan PE Fund II FIA,IT,FAM,client,bensimpson@example.org,2020-01-31,2025-06-30,CONF_FR_2025_10,True
ACC_IT_0092,Milan Private Debt Fund III SRL,IT,PIAO,prospect,vjennings@example.com,,2025-07-16,,True
ACC_NL_0093,Amsterdam Mid-Market Fund IV BV,NL,FAM,client,vroberts@example.org,2017-09-11,,,True
ACC_LU_0094,Europa Growth Fund V SICAV,LU,FAM,client,sam16@example.org,2022-11-12,2025-07-06,CONF_FR_2025_10,True
ACC_FR_0095,Gallic PE Fund I FPCI,FR,PIAO,client,dmorton@example.com,2020-03-09,,,False
ACC_LU_0096,Luxembourg Growth Fund II SCA,LU,PIAO,client,julian30@example.net,2024-06-05,2025-11-01,CONF_LU_2026_03,False
ACC_NL_0097,Amsterdam Real Estate Fund III CV,NL,PIAO,prospect,traceymills@example.org,,2025-02-17,,True
ACC_LU_0098,Lux Growth Fund IV SCA,LU,FAM,prospect,bruce86@example.net,,,,False
ACC_IT_0099,Italian Growth Fund V FP,IT,FAM,client,matthew14@example.org,2024-10-08,,CONF_LU_2024_15,False
ACC_IT_0100,Adriatic Real Estate Fund I FP,IT,PIAO,prospect,ian19@example.com,,,,False
ACC_FR_0101,Gallic PE Fund II SCPI,FR,FAM,client,terry69@example.net,2022-12-01,,CONF_NL_2026_20,False
ACC_IT_0102,Adriatic Green Private Debt Fund III FP,IT,PIAO,client,coopermelissa@example.org,2018-05-26,2026-01-26,,False
ACC_IT_0103,Milan Real Estate Fund IV FIA,IT,FAM,prospect,samuel60@example.net,,2025-05-01,CONF_LU_2026_03,False
ACC_FR_0104,Paris Green PE Fund V FPCI,FR,FAM,client,juliewilliams@example.net,2022-04-20,,CONF_IT_2026_16,False
ACC_LU_0105,Luxembourg ESG PE Fund I SCSp,LU,FAM,prospect,sara51@example.net,,2025-05-02,CONF_NL_2026_02,False
ACC_NL_0106,Amsterdam Mid-Market Fund II BV,NL,PIAO,client,kathleen46@example.com,2020-04-08,2025-11-11,CONF_NL_2024_19,False
ACC_LU_0107,Europa Real Estate Fund III SICAV,LU,PIAO,client,jharrison@example.org,2022-09-11,,,False
ACC_IT_0108,Italian Mid-Market Fund IV SRL,IT,PIAO,client,emilyking@example.com,2024-01-18,2025-10-25,CONF_LU_2026_11,False
ACC_NL_0109,Dutch PE Fund V BV,NL,PIAO,prospect,amberpearce@example.com,,2026-02-20,CONF_LU_2024_15,True
ACC_FR_0110,Paris Growth Fund I SAS,FR,FAM,client,rogersrhys@example.com,2023-02-03,,CONF_LU_2024_07,False
ACC_NL_0111,NL Real Estate Fund II NV,NL,FAM,client,natalie77@example.net,2021-12-07,2025-07-17,CONF_IT_2024_06,False
ACC_NL_0112,Holland Growth Fund III FGR,NL,FAM,prospect,denisejones@example.net,,2025-04-03,CONF_LU_2026_11,False
ACC_IT_0113,IT Real Estate Fund IV SpA,IT,PIAO,client,katycunningham@example.net,2020-12-10,,,True
ACC_NL_0114,NL Green PE Fund V NV,NL,FAM,prospect,colin34@example.org,,,,True
ACC_IT_0115,Italian Private Debt Fund I FIA,IT,FAM,prospect,seanjennings@example.org,,2025-07-09,,True
ACC_NL_0116,Dutch Mid-Market Fund II FGR,NL,PIAO,client,xtalbot@example.org,2022-08-07,2025-10-15,,True
ACC_IT_0117,Milan Mid-Market Fund III FIA,IT,FAM,client,ocarroll@example.net,2018-12-09,,,False
ACC_LU_0118,Grand Duchy Infra Fund IV SCSp,LU,PIAO,prospect,bethancooper@example.com,,2025-07-05,,True
ACC_IT_0119,IT Mid-Market Fund V FP,IT,FAM,client,seanlynch@example.org,2023-03-10,2025-02-14,,False
ACC_LU_0120,Grand Duchy Infra Fund I SCSp,LU,PIAO,client,marshgerald@example.org,2024-03-16,2025-08-27,CONF_IT_2024_12,False
ACC_IT_0121,Milan Sustainable Real Estate Fund II FIA,IT,FAM,client,pparker@example.org,2018-10-26,2025-12-30,,True
ACC_FR_0122,Gallic Green Mid-Market Fund III SAS,FR,FAM,client,dbrowne@example.net,2022-08-21,,CONF_LU_2026_05,True
ACC_LU_0123,Europa Growth Fund IV SICAR,LU,PIAO,prospect,angela98@example.com,,2025-10-20,CONF_LU_2024_01,True
ACC_FR_0124,Seine Real Estate Fund V SCPI,FR,FAM,prospect,vbartlett@example.com,,2025-01-31,CONF_LU_2026_14,False
ACC_LU_0125,Europa Infra Fund I SICAV,LU,PIAO,client,psmith@example.net,2020-11-15,,,False
ACC_IT_0126,Italian Infra Fund II FP,IT,FAM,client,maria73@example.com,2021-04-23,2025-08-03,,False
ACC_NL_0127,Holland ESG PE Fund III FGR,NL,PIAO,client,shamilton@example.org,2022-07-31,2025-07-21,CONF_FR_2024_08,True
ACC_IT_0128,IT PE Fund IV SRL,IT,FAM,client,albert58@example.org,2018-07-03,2026-01-08,CONF_FR_2026_13,True
ACC_NL_0129,Amsterdam Infra Fund V FGR,NL,FAM,client,derekwilson@example.net,2022-01-19,,,True
ACC_FR_0130,Paris ESG PE Fund I SA,FR,PIAO,prospect,dianastevens@example.com,,2025-04-12,,False
ACC_IT_0131,Italian Mid-Market Fund II FP,IT,PIAO,client,dbutcher@example.com,2018-07-27,2025-11-10,,False
ACC_FR_0132,Paris Mid-Market Fund III FPCI,FR,PIAO,client,martinemily@example.com,2021-02-17,,CONF_NL_2024_19,False
ACC_IT_0133,Adriatic PE Fund IV SpA,IT,FAM,client,baxterbeverley@example.com,2024-01-21,,,True
ACC_NL_0134,Amsterdam Green Growth Fund V NV,NL,FAM,client,wbailey@example.com,2021-08-19,2025-07-30,,False
ACC_LU_0135,Europa Mid-Market Fund I SCA,LU,FAM,client,adavis@example.net,2018-12-11,2025-09-30,,True
ACC_NL_0136,Holland Mid-Market Fund II NV,NL,PIAO,client,hollylloyd@example.com,2020-05-04,2025-12-27,CONF_IT_2026_16,True
ACC_LU_0137,Lux Real Estate Fund III SICAV,LU,FAM,client,vday@example.net,2021-06-05,,CONF_FR_2025_10,False
ACC_FR_0138,Seine Sustainable Infra Fund IV FPCI,FR,PIAO,client,dwood@example.org,2020-01-16,2025-12-23,,False
ACC_FR_0139,Seine Private Debt Fund V SA,FR,FAM,client,walkerjenna@example.net,2025-01-17,,,False
ACC_IT_0140,Adriatic Mid-Market Fund I SpA,IT,PIAO,client,shortanne@example.org,2020-08-08,,,False
ACC_IT_0141,Adriatic Growth Fund II FIA,IT,PIAO,client,qclayton@example.com,2018-12-22,,,False
ACC_IT_0142,Adriatic Mid-Market Fund III SRL,IT,PIAO,client,phillip75@example.com,2018-03-16,2025-06-21,,False
ACC_NL_0143,Dutch Infra Fund IV FGR,NL,PIAO,client,awhite@example.com,2024-04-09,2025-04-06,,False
ACC_LU_0144,Luxembourg Infra Fund V SICAV,LU,FAM,client,jonessheila@example.org,2024-07-04,2025-03-13,CONF_FR_2024_08,False
ACC_NL_0145,NL Sustainable Real Estate Fund I NV,NL,PIAO,client,francis10@example.org,2017-02-16,2025-07-04,,False
ACC_FR_0146,Gallic Private Debt Fund II SA,FR,PIAO,prospect,marcbryant@example.net,,,CONF_IT_2026_16,False
ACC_NL_0147,Holland PE Fund III BV,NL,PIAO,prospect,shaneclarke@example.net,,2026-01-22,,True
ACC_LU_0148,Grand Duchy Growth Fund IV SCSp,LU,FAM,client,moorecharlie@example.com,2023-06-04,2025-03-26,CONF_FR_2025_17,False
ACC_NL_0149,Holland ESG Growth Fund V BV,NL,FAM,client,laura29@example.net,2018-06-25,2025-08-22,CONF_LU_2026_18,False
ACC_LU_0150,Luxembourg PE Fund I SCA,LU,FAM,client,hobbsben@example.com,2020-11-12,,,False
