account_id,current_aum_with_iqeq,total_fund_aum,revenue_fund_admin,revenue_middle_office,yoy_revenue_growth,service_penetration_score,existing_middle_office_flag,esg_policy_support_flag
ACC_LU_0083,661375067,1976569615,82663,0,0.02,0.335,False,True
ACC_FR_0084,1004107016,1305674532,147189,0,-0.029,0.769,False,False
ACC_LU_0085,129301783,347178198,452907,265998,-0.124,0.372,True,False
ACC_FR_0086,301883514,1322994407,481061,163723,0.029,0.228,True,True
ACC_LU_0087,2043676371,2571932390,217064,58233,-0.195,0.795,True,False
ACC_NL_0088,240478851,2836564236,188882,0,-0.118,0.085,False,True
ACC_LU_0089,1519499712,2301657916,384879,0,-0.171,0.66,False,True
ACC_LU_0090,0,1931661930,0,0,0.157,0.0,False,False
ACC_IT_0091,475334799,1607357253,241201,0,0.077,0.296,False,True
ACC_IT_0092,0,2253822755,0,0,0.255,0.0,False,True
ACC_NL_0093,481010471,911364159,552270,0,0.023,0.528,False,True
ACC_LU_0094,1323494128,1678833343,391222,0,0.244,0.788,False,False
ACC_FR_0095,251170624,1273066546,180918,133797,0.163,0.197,True,False
ACC_LU_0096,461657656,465416373,170356,220714,0.061,0.992,True,False
ACC_NL_0097,0,564079286,0,0,-0.186,0.0,False,False
ACC_LU_0098,0,1818260445,0,0,-0.079,0.0,False,False
ACC_IT_0099,2178087444,2206876814,66265,149191,0.113,0.987,True,False
ACC_IT_0100,0,238425331,0,0,0.125,0.0,False,True
ACC_FR_0101,710396055,964087226,271888,0,0.203,0.737,False,False
ACC_IT_0102,1556357130,1740231957,376646,0,0.098,0.894,False,True
ACC_IT_0103,0,1115977691,0,0,-0.058,0.0,False,False
ACC_FR_0104,1461251072,2173077957,428610,0,-0.076,0.672,False,True
ACC_LU_0105,0,1050756192,0,0,0.091,0.0,False,True
ACC_NL_0106,898199198,2486243896,58792,0,0.214,0.361,False,True
ACC_LU_0107,249103932,280361650,285751,147717,0.063,0.889,True,False
ACC_IT_0108,633602382,1604940498,158216,0,0.012,0.395,False,False
ACC_NL_0109,0,2800003262,0,0,0.045,0.0,False,False
ACC_FR_0110,359285484,2489054307,76274,0,-0.135,0.144,False,False
ACC_NL_0111,307362974,2603487807,127585,0,0.173,0.118,False,False
ACC_NL_0112,0,1171062972,0,0,0.276,0.0,False,False
ACC_IT_0113,155313068,1284997591,343058,61321,-0.014,0.121,True,False
ACC_NL_0114,0,979454239,0,0,0.043,0.0,False,True
ACC_IT_0115,0,2394490733,0,0,-0.129,0.0,False,False
ACC_NL_0116,215593681,241088035,533434,327650,0.044,0.894,True,True
ACC_IT_0117,967115200,1111081936,250545,0,0.083,0.87,False,False
ACC_LU_0118,0,2365913111,0,0,0.038,0.0,False,False
ACC_IT_0119,1414606775,1856558159,302858,0,0.025,0.762,False,False
ACC_LU_0120,849595710,2612402102,479886,0,0.005,0.325,False,True
ACC_IT_0121,674431637,1246651674,574847,0,0.168,0.541,False,True
ACC_FR_0122,1708663165,1973157936,424325,0,0.198,0.866,False,True
ACC_LU_0123,0,2151456662,0,0,0.081,0.0,False,True
ACC_FR_0124,0,1722123187,0,0,-0.104,0.0,False,False
ACC_LU_0125,93740004,1772881191,342146,190334,0.248,0.053,True,True
ACC_IT_0126,505964598,2814927248,11384,0,-0.077,0.18,False,False
ACC_NL_0127,1187959292,2674201903,484152,0,0.001,0.444,False,True
ACC_IT_0128,198644198,230452567,13957,165974,0.23,0.862,True,True
ACC_NL_0129,96968211,845815600,59600,57613,-0.072,0.115,True,True
ACC_FR_0130,0,989703233,0,0,0.004,0.0,False,True
ACC_IT_0131,362942393,590654039,195174,23400,-0.005,0.614,True,True
ACC_FR_0132,420570829,1297186154,225307,0,-0.14,0.324,False,True
ACC_IT_0133,1336842405,2281187843,295787,0,-0.007,0.586,False,True
ACC_NL_0134,128213546,275832735,244245,0,0.004,0.465,False,True
ACC_LU_0135,689293989,777847321,161495,0,0.138,0.886,False,True
ACC_NL_0136,1341657480,1708651605,182767,33563,0.118,0.785,True,True
ACC_LU_0137,1085177141,2906943386,591185,0,0.069,0.373,False,False
ACC_FR_0138,1239276897,2743328922,600,0,0.215,0.452,False,True
ACC_FR_0139,912613162,938823419,325,0,0.041,0.972,False,False
ACC_IT_0140,963504553,2534514392,210850,0,0.093,0.38,False,False
ACC_IT_0141,171420750,231905717,337848,158121,-0.139,0.739,True,True
ACC_IT_0142,478932651,1713789336,259177,0,0.279,0.279,False,True
ACC_NL_0143,712027889,2078092888,156816,0,0.026,0.343,False,True
ACC_LU_0144,1008068808,2950763646,275879,0,-0.192,0.342,False,False
ACC_NL_0145,4043195,1974685546,285917,0,0.136,0.002,False,True
ACC_FR_0146,0,1298172795,0,0,0.248,0.0,False,False
ACC_NL_0147,0,2311149200,0,0,0.069,0.0,False,False
ACC_LU_0148,153680438,1982382100,18568,0,0.136,0.078,False,False
ACC_NL_0149,913309870,1123684723,496480,70874,0.184,0.813,True,True
ACC_LU_0150,17886214,2121387389,277615,0,0.022,0.008,False,True
