account_id,conference_id,signal_strength
ACME-EU-00029,CONF-002,low
ACME-EU-00030,CONF-018,medium
ACME-EU-00030,CONF-004,medium
ACME-EU-00030,CONF-008,low
ACME-EU-00031,CONF-015,medium
ACME-EU-00031,CONF-024,medium
ACME-EU-00032,CONF-011,low
ACME-EU-00032,CONF-025,low
ACME-EU-00032,CONF-002,medium
ACME-EU-00032,CONF-019,high
ACME-EU-00032,CONF-008,high
ACME-EU-00032,CONF-024,low
ACME-EU-00033,CONF-017,high
ACME-EU-00033,CONF-025,medium
ACME-EU-00036,CONF-004,high
ACME-EU-00037,CONF-004,high
ACME-EU-00039,CONF-014,low
ACME-EU-00039,CONF-005,medium
ACME-EU-00040,CONF-009,high
ACME-EU-00040,CONF-013,medium
ACME-EU-00040,CONF-021,high
ACME-EU-00041,CONF-015,high
ACME-EU-00042,CONF-008,medium
ACME-EU-00042,CONF-004,low
ACME-EU-00044,CONF-018,low
ACME-EU-00044,CONF-009,low
ACME-EU-00046,CONF-022,medium
ACME-EU-00046,CONF-007,medium
ACME-EU-00048,CONF-024,medium
ACME-EU-00048,CONF-002,high
ACME-EU-00049,CONF-020,medium
ACME-EU-00049,CONF-021,medium
ACME-EU-00049,CONF-016,low
ACME-EU-00049,CONF-024,medium
ACME-EU-00051,CONF-016,low
ACME-EU-00052,CONF-020,high
ACME-EU-00052,CONF-010,high
ACME-EU-00052,CONF-007,medium
ACME-EU-00052,CONF-016,medium
ACME-EU-00052,CONF-017,medium
ACME-EU-00052,CONF-013,low
ACME-EU-00053,CONF-010,high
ACME-EU-00053,CONF-011,high
ACME-EU-00053,CONF-004,medium
ACME-EU-00055,CONF-015,low
ACME-EU-00055,CONF-012,low
ACME-EU-00055,CONF-003,high
ACME-EU-00056,CONF-023,low
ACME-EU-00057,CONF-002,high
ACME-EU-00057,CONF-018,low
ACME-EU-00057,CONF-012,low
ACME-EU-00057,CONF-024,low
ACME-EU-00057,CONF-003,medium
ACME-EU-00057,CONF-021,low
ACME-EU-00059,CONF-019,high
ACME-EU-00060,CONF-019,high
ACME-EU-00060,CONF-002,medium
ACME-EU-00062,CONF-021,low
ACME-EU-00062,CONF-005,low
ACME-EU-00062,CONF-014,high
ACME-EU-00062,CONF-011,high
ACME-EU-00064,CONF-010,low
ACME-EU-00068,CONF-013,medium
ACME-EU-00068,CONF-025,medium
ACME-EU-00069,CONF-012,medium
ACME-EU-00069,CONF-016,high
ACME-EU-00069,CONF-001,low
ACME-EU-00071,CONF-016,medium
ACME-EU-00071,CONF-008,low
ACME-EU-00071,CONF-014,low
ACME-EU-00072,CONF-010,high
ACME-EU-00072,CONF-013,high
ACME-EU-00073,CONF-004,medium
ACME-EU-00074,CONF-021,medium
ACME-EU-00076,CONF-024,medium
ACME-EU-00076,CONF-001,high
ACME-EU-00077,CONF-023,high
ACME-EU-00077,CONF-021,medium
ACME-EU-00078,CONF-011,medium
ACME-EU-00078,CONF-002,medium
ACME-EU-00078,CONF-015,medium
ACME-EU-00078,CONF-021,medium
ACME-EU-00078,CONF-019,low
ACME-EU-00078,CONF-006,low
ACME-EU-00078,CONF-001,low
ACME-EU-00078,CONF-005,low
ACME-EU-00078,CONF-004,medium
ACME-EU-00081,CONF-015,medium
ACME-EU-00081,CONF-016,high
ACME-EU-00085,CONF-018,medium
ACME-EU-00085,CONF-007,high
ACME-EU-00085,CONF-014,low
ACME-EU-00085,CONF-004,high
ACME-EU-00087,CONF-021,low
ACME-EU-00089,CONF-017,high
ACME-EU-00089,CONF-025,low
ACME-EU-00089,CONF-014,medium
ACME-EU-00089,CONF-007,low
ACME-EU-00091,CONF-006,medium
ACME-EU-00091,CONF-010,high
ACME-EU-00091,CONF-019,medium
ACME-EU-00091,CONF-003,low
ACME-EU-00092,CONF-013,low
ACME-EU-00092,CONF-011,high
ACME-EU-00092,CONF-009,low
ACME-EU-00092,CONF-019,high
ACME-EU-00092,CONF-024,low
ACME-EU-00092,CONF-007,medium
ACME-EU-00092,CONF-002,high
ACME-EU-00092,CONF-003,high
ACME-EU-00092,CONF-008,high
ACME-EU-00092,CONF-016,high
ACME-EU-00093,CONF-018,low
ACME-EU-00093,CONF-005,low
ACME-EU-00094,CONF-010,high
ACME-EU-00094,CONF-023,high
ACME-EU-00094,CONF-004,low
ACME-EU-00097,CONF-021,medium
ACME-EU-00097,CONF-023,medium
ACME-EU-00097,CONF-022,medium
ACME-EU-00097,CONF-018,high
ACME-EU-00097,CONF-001,high
ACME-EU-00098,CONF-016,low
ACME-EU-00098,CONF-003,low
ACME-EU-00098,CONF-005,medium
ACME-EU-00098,CONF-007,low
ACME-EU-00098,CONF-010,low
ACME-EU-00100,CONF-019,medium
ACME-EU-00100,CONF-023,medium
ACME-EU-00101,CONF-008,low
ACME-EU-00102,CONF-015,medium
ACME-EU-00103,CONF-013,low
ACME-EU-00103,CONF-023,high
ACME-EU-00103,CONF-001,medium
ACME-EU-00103,CONF-016,medium
ACME-EU-00103,CONF-008,high
ACME-EU-00103,CONF-012,medium
ACME-EU-00103,CONF-025,medium
ACME-EU-00103,CONF-005,medium
ACME-EU-00104,CONF-020,high
ACME-EU-00106,CONF-003,high
ACME-EU-00106,CONF-002,high
ACME-EU-00106,CONF-015,medium
ACME-EU-00106,CONF-025,high
ACME-EU-00110,CONF-022,medium
ACME-EU-00110,CONF-018,high
ACME-EU-00112,CONF-017,low
ACME-EU-00112,CONF-016,medium
ACME-EU-00113,CONF-023,medium
ACME-EU-00113,CONF-008,high
ACME-EU-00113,CONF-007,medium
ACME-EU-00114,CONF-006,high
ACME-EU-00114,CONF-014,medium
ACME-EU-00114,CONF-022,medium
ACME-EU-00115,CONF-025,high
ACME-EU-00115,CONF-022,high
ACME-EU-00117,CONF-012,medium
ACME-EU-00117,CONF-009,high
ACME-EU-00117,CONF-010,high
ACME-EU-00117,CONF-017,high
ACME-EU-00117,CONF-001,medium
ACME-EU-00117,CONF-007,high
ACME-EU-00117,CONF-018,low
ACME-EU-00117,CONF-006,high
ACME-EU-00117,CONF-016,high
ACME-EU-00117,CONF-008,high
ACME-EU-00119,CONF-017,medium
ACME-EU-00119,CONF-008,low
ACME-EU-00120,CONF-015,high
ACME-EU-00120,CONF-006,low
ACME-EU-00120,CONF-008,low
ACME-EU-00120,CONF-012,medium
ACME-EU-00120,CONF-013,low
ACME-EU-00120,CONF-011,high
ACME-EU-00123,CONF-012,high
ACME-EU-00124,CONF-001,high
ACME-EU-00125,CONF-018,high
ACME-EU-00125,CONF-011,high
ACME-EU-00127,CONF-017,low
ACME-EU-00127,CONF-015,low
ACME-EU-00127,CONF-003,high
ACME-EU-00127,CONF-010,high
ACME-EU-00127,CONF-023,medium
ACME-EU-00127,CONF-011,high
ACME-EU-00127,CONF-009,medium
ACME-EU-00127,CONF-005,medium
ACME-EU-00127,CONF-013,high
ACME-EU-00127,CONF-019,medium
ACME-EU-00128,CONF-019,medium
ACME-EU-00128,CONF-011,high
ACME-EU-00128,CONF-023,medium
ACME-EU-00128,CONF-009,high
ACME-EU-00128,CONF-001,medium
ACME-EU-00129,CONF-011,low
ACME-EU-00129,CONF-025,high
ACME-EU-00129,CONF-008,low
ACME-EU-00129,CONF-015,low
ACME-EU-00129,CONF-024,high
ACME-EU-00129,CONF-007,medium
ACME-EU-00129,CONF-005,medium
ACME-EU-00129,CONF-019,low
ACME-EU-00131,CONF-004,high
ACME-EU-00133,CONF-001,medium
ACME-EU-00134,CONF-014,medium
ACME-EU-00134,CONF-009,medium
ACME-EU-00136,CONF-021,low
ACME-EU-00136,CONF-023,high
ACME-EU-00137,CONF-006,medium
ACME-EU-00137,CONF-002,high
ACME-EU-00139,CONF-004,medium
ACME-EU-00141,CONF-018,medium
ACME-EU-00141,CONF-005,medium
ACME-EU-00141,CONF-014,low
ACME-EU-00141,CONF-022,high
ACME-EU-00141,CONF-023,medium
ACME-EU-00141,CONF-006,low
ACME-EU-00141,CONF-003,low
ACME-EU-00141,CONF-019,high
ACME-EU-00142,CONF-020,medium
ACME-EU-00142,CONF-002,low
ACME-EU-00143,CONF-022,high
ACME-EU-00143,CONF-010,medium
ACME-EU-00144,CONF-003,high
ACME-EU-00145,CONF-011,low
ACME-EU-00145,CONF-017,high
ACME-EU-00145,CONF-001,high
ACME-EU-00145,CONF-009,low
ACME-EU-00145,CONF-025,medium
ACME-EU-00146,CONF-011,low
ACME-EU-00146,CONF-001,high
ACME-EU-00146,CONF-021,low
ACME-EU-00149,CONF-023,high
ACME-EU-00151,CONF-015,high
ACME-EU-00151,CONF-016,medium
ACME-EU-00151,CONF-007,high
ACME-EU-00152,CONF-019,high
ACME-EU-00154,CONF-020,medium
ACME-EU-00154,CONF-016,low
ACME-EU-00154,CONF-003,low
ACME-EU-00155,CONF-015,medium
ACME-EU-00156,CONF-009,low
ACME-EU-00160,CONF-006,high
ACME-EU-00160,CONF-005,high
ACME-EU-00161,CONF-001,high
ACME-EU-00161,CONF-014,low
ACME-EU-00161,CONF-003,high
ACME-EU-00161,CONF-022,high
ACME-EU-00163,CONF-021,medium
ACME-EU-00163,CONF-018,medium
ACME-EU-00163,CONF-013,high
ACME-EU-00163,CONF-002,high
ACME-EU-00163,CONF-015,high
ACME-EU-00163,CONF-024,high
ACME-EU-00163,CONF-019,low
ACME-EU-00164,CONF-001,low
ACME-EU-00167,CONF-007,high
ACME-EU-00167,CONF-008,high
ACME-EU-00167,CONF-025,high
ACME-EU-00167,CONF-006,high
ACME-EU-00167,CONF-013,medium
ACME-EU-00168,CONF-019,medium
ACME-EU-00168,CONF-018,medium
ACME-EU-00170,CONF-002,high
ACME-EU-00170,CONF-018,high
ACME-EU-00171,CONF-012,high
ACME-EU-00171,CONF-025,low
ACME-EU-00172,CONF-006,medium
ACME-EU-00172,CONF-007,medium
ACME-EU-00172,CONF-010,high
ACME-EU-00172,CONF-023,high
ACME-EU-00172,CONF-022,low
ACME-EU-00172,CONF-008,high
ACME-EU-00173,CONF-014,medium
ACME-EU-00173,CONF-017,medium
ACME-EU-00173,CONF-010,low
ACME-EU-00176,CONF-007,low
ACME-EU-00177,CONF-002,medium
ACME-EU-00177,CONF-004,low
ACME-EU-00178,CONF-002,high
ACME-EU-00178,CONF-017,medium
ACME-EU-00180,CONF-013,medium
ACME-EU-00184,CONF-022,high
ACME-EU-00185,CONF-005,low
ACME-EU-00186,CONF-009,low
ACME-EU-00188,CONF-009,low
ACME-EU-00188,CONF-008,low
ACME-EU-00189,CONF-021,low
ACME-EU-00189,CONF-001,medium
ACME-EU-00190,CONF-009,low
ACME-EU-00191,CONF-010,high
ACME-EU-00191,CONF-024,medium
ACME-EU-00192,CONF-022,high
ACME-EU-00193,CONF-007,medium
ACME-EU-00194,CONF-006,medium
ACME-EU-00194,CONF-017,high
ACME-EU-00194,CONF-010,medium
ACME-EU-00194,CONF-014,high
ACME-EU-00194,CONF-019,high
ACME-EU-00195,CONF-021,high
ACME-EU-00195,CONF-015,medium
ACME-EU-00199,CONF-025,medium
ACME-EU-00200,CONF-005,low
ACME-EU-00201,CONF-010,low
ACME-EU-00201,CONF-020,low
ACME-EU-00202,CONF-006,low
ACME-EU-00202,CONF-025,medium
ACME-EU-00202,CONF-002,high
ACME-EU-00203,CONF-011,low
ACME-EU-00205,CONF-023,medium
ACME-EU-00205,CONF-025,low
ACME-EU-00206,CONF-005,high
ACME-EU-00206,CONF-013,low
ACME-EU-00207,CONF-019,high
ACME-EU-00207,CONF-023,high
ACME-EU-00209,CONF-006,medium
ACME-EU-00209,CONF-018,low
ACME-EU-00209,CONF-019,low
ACME-EU-00213,CONF-002,medium
ACME-EU-00213,CONF-005,medium
ACME-EU-00214,CONF-004,medium
ACME-EU-00214,CONF-003,high
ACME-EU-00216,CONF-018,low
ACME-EU-00216,CONF-005,medium
ACME-EU-00217,CONF-020,high
ACME-EU-00218,CONF-023,high
ACME-EU-00218,CONF-019,low
ACME-EU-00218,CONF-001,low
ACME-EU-00218,CONF-024,medium
ACME-EU-00218,CONF-014,low
ACME-EU-00218,CONF-006,medium
ACME-EU-00218,CONF-003,high
ACME-EU-00218,CONF-016,high
ACME-EU-00219,CONF-008,medium
ACME-EU-00219,CONF-006,low
ACME-EU-00219,CONF-009,high
ACME-EU-00219,CONF-016,medium
ACME-EU-00219,CONF-013,high
ACME-EU-00219,CONF-014,high
ACME-EU-00219,CONF-012,low
ACME-EU-00223,CONF-018,low
ACME-EU-00223,CONF-020,high
ACME-EU-00223,CONF-001,high
ACME-EU-00225,CONF-009,high
ACME-EU-00227,CONF-002,medium
ACME-EU-00227,CONF-020,medium
ACME-EU-00227,CONF-009,medium
ACME-EU-00228,CONF-006,high
ACME-EU-00229,CONF-022,low
ACME-EU-00229,CONF-018,low
ACME-EU-00229,CONF-003,low
ACME-EU-00229,CONF-023,medium
ACME-EU-00230,CONF-007,low
ACME-EU-00230,CONF-006,high
ACME-EU-00232,CONF-020,medium
ACME-EU-00232,CONF-021,high
ACME-EU-00232,CONF-002,low
ACME-EU-00232,CONF-012,low
ACME-EU-00232,CONF-023,high
ACME-EU-00233,CONF-025,high
ACME-EU-00234,CONF-024,medium
ACME-EU-00234,CONF-010,low
ACME-EU-00235,CONF-008,medium
ACME-EU-00235,CONF-013,medium
ACME-EU-00235,CONF-022,high
ACME-EU-00235,CONF-019,high
ACME-EU-00235,CONF-004,high
ACME-EU-00235,CONF-024,high
ACME-EU-00235,CONF-025,low
ACME-EU-00235,CONF-014,high
ACME-EU-00236,CONF-007,medium
ACME-EU-00236,CONF-016,low
ACME-EU-00236,CONF-018,low
ACME-EU-00236,CONF-004,high
ACME-EU-00236,CONF-024,medium
ACME-EU-00236,CONF-008,low
ACME-EU-00236,CONF-011,medium
ACME-EU-00236,CONF-001,low
ACME-EU-00236,CONF-025,high
ACME-EU-00238,CONF-008,medium
ACME-EU-00238,CONF-012,low
ACME-EU-00238,CONF-016,medium
ACME-EU-00240,CONF-003,high
ACME-EU-00243,CONF-005,low
ACME-EU-00245,CONF-014,medium
ACME-EU-00245,CONF-016,high
ACME-EU-00245,CONF-024,low
ACME-EU-00245,CONF-015,high
ACME-EU-00245,CONF-003,medium
ACME-EU-00249,CONF-022,medium
ACME-EU-00249,CONF-014,high
ACME-EU-00249,CONF-009,low
ACME-EU-00249,CONF-013,low
ACME-EU-00250,CONF-015,high
ACME-EU-00250,CONF-025,low
ACME-EU-00250,CONF-019,high
ACME-EU-00250,CONF-002,high
ACME-EU-00251,CONF-003,high
ACME-EU-00252,CONF-021,high
ACME-EU-00252,CONF-022,medium
ACME-EU-00252,CONF-016,high
ACME-EU-00252,CONF-020,medium
ACME-EU-00252,CONF-017,low
ACME-EU-00254,CONF-006,low
ACME-EU-00255,CONF-010,low
ACME-EU-00256,CONF-017,medium
ACME-EU-00257,CONF-025,high
ACME-EU-00258,CONF-014,low
ACME-EU-00258,CONF-001,high
ACME-EU-00261,CONF-005,high
ACME-EU-00261,CONF-009,medium
ACME-EU-00263,CONF-002,high
ACME-EU-00263,CONF-003,medium
ACME-EU-00265,CONF-012,high
ACME-EU-00265,CONF-010,high
ACME-EU-00265,CONF-017,low
ACME-EU-00265,CONF-011,medium
ACME-EU-00265,CONF-004,high
ACME-EU-00266,CONF-010,low
ACME-EU-00266,CONF-022,low
ACME-EU-00266,CONF-009,low
ACME-EU-00266,CONF-023,medium
ACME-EU-00266,CONF-018,high
ACME-EU-00266,CONF-025,low
ACME-EU-00266,CONF-007,low
ACME-EU-00266,CONF-012,low
ACME-EU-00266,CONF-004,high
ACME-EU-00267,CONF-012,high
ACME-EU-00267,CONF-009,low
ACME-EU-00267,CONF-013,medium
ACME-EU-00267,CONF-007,high
ACME-EU-00268,CONF-017,medium
ACME-EU-00268,CONF-015,low
ACME-EU-00269,CONF-007,medium
ACME-EU-00271,CONF-025,low
ACME-EU-00271,CONF-019,medium
ACME-EU-00273,CONF-015,medium
ACME-EU-00279,CONF-025,medium
ACME-EU-00280,CONF-011,medium
ACME-EU-00280,CONF-022,high
ACME-EU-00280,CONF-015,low
ACME-EU-00280,CONF-007,medium
ACME-EU-00280,CONF-021,low
ACME-EU-00280,CONF-020,low
ACME-EU-00281,CONF-013,medium
ACME-EU-00281,CONF-015,high
ACME-EU-00282,CONF-019,high
ACME-EU-00282,CONF-005,low
ACME-EU-00282,CONF-012,medium
ACME-EU-00283,CONF-003,low
ACME-EU-00283,CONF-012,high
ACME-EU-00283,CONF-008,medium
ACME-EU-00283,CONF-011,high
ACME-EU-00283,CONF-002,medium
ACME-EU-00283,CONF-009,high
ACME-EU-00283,CONF-005,high
ACME-EU-00284,CONF-024,high
ACME-EU-00286,CONF-005,high
ACME-EU-00286,CONF-007,high
ACME-EU-00287,CONF-007,high
ACME-EU-00288,CONF-016,high
ACME-EU-00289,CONF-022,medium
ACME-EU-00289,CONF-019,low
ACME-EU-00289,CONF-005,medium
ACME-EU-00289,CONF-017,medium
ACME-EU-00293,CONF-013,medium
ACME-EU-00293,CONF-008,low
ACME-EU-00293,CONF-019,medium
ACME-EU-00294,CONF-008,low
ACME-EU-00294,CONF-013,high
ACME-EU-00296,CONF-024,high
ACME-EU-00296,CONF-015,high
ACME-EU-00296,CONF-020,medium
ACME-EU-00296,CONF-017,low
ACME-EU-00301,CONF-014,medium
ACME-EU-00301,CONF-007,high
ACME-EU-00303,CONF-012,medium
ACME-EU-00304,CONF-013,low
ACME-EU-00304,CONF-007,medium
ACME-EU-00304,CONF-006,medium
ACME-EU-00304,CONF-002,medium
ACME-EU-00304,CONF-022,low
ACME-EU-00306,CONF-006,high
ACME-EU-00306,CONF-005,medium
ACME-EU-00307,CONF-015,high
ACME-EU-00307,CONF-003,high
ACME-EU-00307,CONF-014,high
ACME-EU-00307,CONF-016,medium
ACME-EU-00309,CONF-008,high
ACME-EU-00309,CONF-025,medium
ACME-EU-00309,CONF-021,high
ACME-EU-00309,CONF-014,low
ACME-EU-00309,CONF-012,high
ACME-EU-00309,CONF-002,low
ACME-EU-00309,CONF-018,high
ACME-EU-00309,CONF-020,high
ACME-EU-00309,CONF-024,medium
ACME-EU-00309,CONF-023,low
ACME-EU-00312,CONF-015,medium
ACME-EU-00315,CONF-001,high
ACME-EU-00315,CONF-008,high
ACME-EU-00316,CONF-002,high
ACME-EU-00316,CONF-003,high
ACME-EU-00317,CONF-001,high
ACME-EU-00320,CONF-003,high
ACME-EU-00320,CONF-023,high
ACME-EU-00323,CONF-006,medium
ACME-EU-00325,CONF-018,medium
ACME-EU-00326,CONF-003,medium
ACME-EU-00326,CONF-011,low
ACME-EU-00327,CONF-023,medium
ACME-EU-00328,CONF-021,high
ACME-EU-00328,CONF-011,medium
ACME-EU-00331,CONF-021,low
ACME-EU-00331,CONF-016,low
ACME-EU-00331,CONF-018,medium
ACME-EU-00332,CONF-025,low
ACME-EU-00332,CONF-009,medium
ACME-EU-00332,CONF-017,low
ACME-EU-00332,CONF-014,medium
ACME-EU-00332,CONF-024,low
ACME-EU-00333,CONF-017,medium
ACME-EU-00334,CONF-014,low
ACME-EU-00335,CONF-019,low
ACME-EU-00335,CONF-013,medium
ACME-EU-00335,CONF-002,high
ACME-EU-00335,CONF-017,low
ACME-EU-00335,CONF-025,high
ACME-EU-00335,CONF-010,medium
ACME-EU-00335,CONF-001,medium
ACME-EU-00335,CONF-009,high
ACME-EU-00335,CONF-008,medium
ACME-EU-00336,CONF-025,medium
ACME-EU-00337,CONF-003,high
ACME-EU-00337,CONF-011,medium
ACME-EU-00339,CONF-016,medium
ACME-EU-00339,CONF-022,medium
ACME-EU-00340,CONF-011,low
ACME-EU-00340,CONF-023,medium
ACME-EU-00341,CONF-025,high
ACME-EU-00342,CONF-025,low
ACME-EU-00342,CONF-018,high
ACME-EU-00342,CONF-008,medium
ACME-EU-00342,CONF-011,high
ACME-EU-00343,CONF-009,low
ACME-EU-00344,CONF-004,low
ACME-EU-00344,CONF-017,low
ACME-EU-00345,CONF-007,medium
ACME-EU-00345,CONF-012,low
ACME-EU-00345,CONF-020,medium
ACME-EU-00345,CONF-018,high
ACME-EU-00346,CONF-001,low
ACME-EU-00346,CONF-008,low
ACME-EU-00346,CONF-004,low
ACME-EU-00346,CONF-006,high
ACME-EU-00346,CONF-023,high
ACME-EU-00346,CONF-024,high
ACME-EU-00346,CONF-017,medium
ACME-EU-00346,CONF-011,high
ACME-EU-00346,CONF-003,medium
ACME-EU-00346,CONF-016,high
ACME-EU-00346,CONF-009,medium
ACME-EU-00347,CONF-025,low
ACME-EU-00347,CONF-024,medium
ACME-EU-00347,CONF-014,low
ACME-EU-00347,CONF-009,low
ACME-EU-00347,CONF-022,low
ACME-EU-00347,CONF-010,low
ACME-EU-00348,CONF-005,low
ACME-EU-00349,CONF-007,low
ACME-EU-00349,CONF-001,high
ACME-EU-00349,CONF-024,low
ACME-EU-00351,CONF-018,low
ACME-EU-00355,CONF-003,low
ACME-EU-00358,CONF-007,low
ACME-EU-00358,CONF-022,low
ACME-EU-00358,CONF-001,medium
ACME-EU-00358,CONF-024,low
ACME-EU-00358,CONF-006,high
ACME-EU-00359,CONF-015,low
ACME-EU-00359,CONF-004,high
ACME-EU-00360,CONF-010,high
ACME-EU-00360,CONF-005,medium
ACME-EU-00361,CONF-024,high
ACME-EU-00362,CONF-005,high
ACME-EU-00362,CONF-010,low
ACME-EU-00362,CONF-002,high
ACME-EU-00362,CONF-014,high
ACME-EU-00362,CONF-024,medium
ACME-EU-00362,CONF-018,low
ACME-EU-00363,CONF-011,high
ACME-EU-00364,CONF-011,low
ACME-EU-00364,CONF-006,low
ACME-EU-00366,CONF-008,low
ACME-EU-00366,CONF-018,high
ACME-EU-00366,CONF-023,low
ACME-EU-00366,CONF-022,low
ACME-EU-00366,CONF-015,low
ACME-EU-00366,CONF-009,low
ACME-EU-00366,CONF-006,medium
ACME-EU-00366,CONF-012,low
ACME-EU-00368,CONF-024,medium
ACME-EU-00368,CONF-003,high
ACME-EU-00369,CONF-014,medium
ACME-EU-00369,CONF-012,medium
ACME-EU-00369,CONF-022,medium
ACME-EU-00369,CONF-019,low
ACME-EU-00369,CONF-008,medium
ACME-EU-00369,CONF-015,low
ACME-EU-00370,CONF-011,low
ACME-EU-00370,CONF-005,medium
ACME-EU-00370,CONF-002,high
ACME-EU-00370,CONF-023,medium
ACME-EU-00370,CONF-004,low
ACME-EU-00371,CONF-012,medium
ACME-EU-00371,CONF-013,low
ACME-EU-00371,CONF-022,low
ACME-EU-00371,CONF-004,high
ACME-EU-00372,CONF-014,high
ACME-EU-00373,CONF-011,high
ACME-EU-00373,CONF-023,low
ACME-EU-00374,CONF-011,high
ACME-EU-00374,CONF-024,high
ACME-EU-00374,CONF-020,low
ACME-EU-00374,CONF-004,low
ACME-EU-00374,CONF-012,low
ACME-EU-00375,CONF-022,medium
ACME-EU-00375,CONF-014,high
ACME-EU-00376,CONF-019,low
ACME-EU-00377,CONF-022,low
ACME-EU-00378,CONF-004,low
ACME-EU-00379,CONF-009,low
ACME-EU-00379,CONF-015,medium
ACME-EU-00381,CONF-006,high
ACME-EU-00382,CONF-001,high
ACME-EU-00382,CONF-009,medium
ACME-EU-00384,CONF-017,high
ACME-EU-00384,CONF-014,medium
ACME-EU-00384,CONF-024,high
ACME-EU-00385,CONF-015,high
ACME-EU-00385,CONF-011,medium
ACME-EU-00385,CONF-008,low
ACME-EU-00385,CONF-019,medium
ACME-EU-00385,CONF-013,medium
ACME-EU-00385,CONF-025,medium
ACME-EU-00387,CONF-001,high
ACME-EU-00388,CONF-014,low
ACME-EU-00389,CONF-015,medium
ACME-EU-00389,CONF-006,low
ACME-EU-00390,CONF-015,medium
ACME-EU-00390,CONF-013,low
ACME-EU-00392,CONF-001,medium
ACME-EU-00393,CONF-021,low
ACME-EU-00393,CONF-012,high
ACME-EU-00393,CONF-016,low
ACME-EU-00393,CONF-017,low
ACME-EU-00393,CONF-018,low
ACME-EU-00393,CONF-001,low
ACME-EU-00394,CONF-007,medium
ACME-EU-00395,CONF-018,medium
ACME-EU-00395,CONF-019,high
ACME-EU-00395,CONF-022,medium
ACME-EU-00395,CONF-002,low
ACME-EU-00396,CONF-012,high
ACME-EU-00396,CONF-008,high
ACME-EU-00397,CONF-019,medium
ACME-EU-00397,CONF-005,low
ACME-EU-00397,CONF-013,high
ACME-EU-00397,CONF-021,low
ACME-EU-00398,CONF-002,medium
ACME-EU-00398,CONF-009,low
ACME-EU-00398,CONF-022,low
ACME-EU-00398,CONF-001,high
ACME-EU-00398,CONF-014,medium
ACME-EU-00398,CONF-011,low
ACME-EU-00402,CONF-014,low
ACME-EU-00402,CONF-019,high
ACME-EU-00402,CONF-001,medium
ACME-EU-00406,CONF-010,medium
ACME-EU-00406,CONF-009,high
ACME-EU-00406,CONF-005,medium
ACME-EU-00408,CONF-012,high
ACME-EU-00408,CONF-017,high
ACME-EU-00408,CONF-020,medium
ACME-EU-00408,CONF-002,high
ACME-EU-00408,CONF-016,low
ACME-EU-00408,CONF-011,low
ACME-EU-00408,CONF-022,low
ACME-EU-00408,CONF-004,high
ACME-EU-00408,CONF-007,low
ACME-EU-00408,CONF-023,low
ACME-EU-00408,CONF-014,low
ACME-EU-00409,CONF-008,low
ACME-EU-00409,CONF-013,medium
ACME-EU-00409,CONF-011,low
ACME-EU-00409,CONF-019,low
ACME-EU-00409,CONF-012,medium
ACME-EU-00410,CONF-006,high
ACME-EU-00410,CONF-023,low
ACME-EU-00411,CONF-025,medium
ACME-EU-00411,CONF-008,high
ACME-EU-00411,CONF-005,high
ACME-EU-00412,CONF-013,high
ACME-EU-00413,CONF-017,high
ACME-EU-00413,CONF-009,medium
ACME-EU-00415,CONF-021,medium
ACME-EU-00415,CONF-008,high
ACME-EU-00416,CONF-007,low
ACME-EU-00416,CONF-001,high
